EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202065115, 100.83463, 26.00889, 10.6, GO0062_LC
202065116, 101.00775, 27.00051, 11.8, GO0062_LC
202065117, 100.66158, 26.00254, 12.0, GO0062_LC
202065118, 100.86758, 26.00239, 12.3, GO0062_LC
202065119, 100.75829, 26.01358, 12.5, GO0062_LC
202065120, 100.81625, 26.01269, 12.6, GO0062_LC
202065121, 100.85546, 26.01389, 12.9, GO0062_LC
202065122, 100.73379, 27.01307, 13.1, GO0062_LC
202065123, 100.74613, 26.00006, 13.1, GO0062_LC
202065124, 100.74658, 27.00643, 13.3, GO0062_LC
202065125, 100.66408, 26.00734, 13.3, GO0062_LC
202065126, 100.81333, 26.00997, 13.4, GO0062_LC
202065127, 100.83846, 27.01582, 13.5, GO0062_LC
202065128, 100.86404, 27.00734, 13.7, GO0062_LC
202065129, 100.73471, 26.01016, 13.7, GO0062_LC
202065130, 100.78521, 27.00316, 13.7, GO0062_LC
202065131, 100.74071, 26.00325, 13.7, GO0062_LC
202065132, 100.98225, 26.00257, 13.7, GO0062_LC
202065133, 100.95683, 26.00356, 13.7, GO0062_LC
202065134, 100.74683, 26.0074, 13.8, GO0062_LC
202065135, 100.7005, 27.01023, 13.8, GO0062_LC
202065136, 100.84375, 26.01331, 13.8, GO0062_LC
202065137, 100.83358, 26.00111, 14.0, GO0062_LC
202065147, 91.73122, 24.00856, 14.8, GO0062_LC
202065150, 91.72967, 24.01651, 14.9, GO0062_LC
202065155, 91.68851, 24.00027, 15.4, GO0062_LC
202065157, 103.25667, 16.9392, 16.6, GO0062_LC
202065158, 103.26459, 16.91903, 16.6, GO0062_LC
202065159, 103.26618, 16.92588, 16.9, GO0062_LC
202065160, 103.268, 16.9276, 16.6, GO0062_LC
202065161, 103.26817, 16.93413, 16.6, GO0062_LC
202065162, 103.28362, 16.92793, 16.6, GO0062_LC
202065163, 103.26868, 16.96241, 16.5, GO0062_LC
202065164, 103.25617, 16.91707, 16.2, GO0062_LC
202065165, 103.26819, 16.93172, 11.3, GO0062_LC|GO0111_LC|GO0118_LC
